


# Centrality indices at time 8500
# Label Closeness Stress Betweenness
1 2.9146183678019580 93954 9887.2860041693660000
2 3.1193880101885700 87178 11217.7640646209220000
3 2.7653470397070445 132803 12506.9995768533350000
4 3.1193880101885700 62694 6548.0251202406490000
5 3.2016786141383293 15706 1851.0639330698389000
6 3.0734583707747500 37027 3703.5360545936473000
7 3.0179600564830515 119428 15132.2078092249610000
8 3.4983075353525797 7699 1037.9375165601436000
9 3.0064776466295970 47995 4648.6197989633950000
10 3.1155605402374182 110351 12298.5113152111030000
11 3.0351836712632340 40497 4763.5618400024320000
12 3.2705730732590585 34561 3779.4726696115663000
13 2.9241870426798373 150136 20525.8663621576400000
14 3.1519215047733580 120524 15220.4062497744000000
15 3.0562347559945677 52663 5720.8993074850580000
16 2.9452381274111707 206494 20149.8577814037400000
17 3.6207865737894320 10738 1226.3662388609960000
18 3.1308704200420245 34028 4081.6245646913208000
19 2.9930815018005660 80289 8510.9908840141250000
20 3.0619759609212958 36715 3967.8756972710344000
21 2.8304140288766226 191329 21504.0607150037980000
22 3.2686593382834830 12363 1089.4420408433127000
23 2.6524366761480720 380560 47659.7246256283800000
24 3.0313562013120823 184971 22558.0439711510100000
25 3.0447523461411130 51617 6611.9533990869660000
26 3.7336969373484050 0 0.0000000000000000
27 3.1959374092116020 33894 3496.1482699215010000
28 3.2456945185765730 18747 2341.8980518072412000
29 3.3337263274530606 13359 1838.9720100905763000
30 3.1825412643825715 119172 13471.2605267122000000
31 2.9509793323378983 44098 4454.5321001580820000
32 3.7030771777391913 2523 427.6333696214605000
33 3.4542916309143363 4776 385.7313472703471000
34 3.1806275294069960 36788 3807.5759352933974000
35 4.1164439324635670 0 0.0000000000000000
36 4.1202714024147180 0 0.0000000000000000
37 4.1164439324635670 0 0.0000000000000000
38 3.0428386111655374 95767 12133.3295145931000000
39 2.7806569195116513 92435 8607.5662132018350000
40 2.8610337884858352 105748 10772.8997482707470000
41 2.6926251106351640 295294 34562.3598200160700000
42 2.6562641460992236 315634 34135.0334044409600000
43 3.2035923491139050 5307 437.6391066423100000
44 3.0237012614097796 42802 4950.9854228532560000
